Stage,Match_ID,Date,Team1,Team2,Prob_T1,Prob_Draw,Prob_T2,RF_Prob_T1,RF_Prob_Draw,RF_Prob_T2,XGB_Prob_T1,XGB_Prob_Draw,XGB_Prob_T2,ANN_Prob_T1,ANN_Prob_Draw,ANN_Prob_T2,Winner,Loser
Group L,,28.06.2026,Panama,England,16.416666666666668,19.143333333333334,64.44,13.18,18.62,68.2,14.899999999999999,20.02,65.08,21.17,18.790000000000003,60.040000000000006,England,Panama
Group L,,28.06.2026,Croatia,Ghana,65.66666666666667,20.176666666666666,14.156666666666666,69.12,20.45,10.43,68.62,19.42,11.959999999999999,59.260000000000005,20.66,20.080000000000002,Croatia,Ghana
Group K,,28.06.2026,Colombia,Portugal,29.936666666666667,24.060000000000002,46.00333333333334,28.349999999999998,27.16,44.49,30.97,26.590000000000003,42.44,30.490000000000002,18.43,51.080000000000005,Portugal,Colombia
Group K,,28.06.2026,DR Congo,Uzbekistan,47.52333333333333,24.29666666666667,28.180000000000003,44.54,26.640000000000004,28.82,41.099999999999994,26.35,32.550000000000004,56.93,19.900000000000002,23.169999999999998,DR Congo,Uzbekistan
Group J,,28.06.2026,Jordan,Argentina,16.790000000000003,18.496666666666666,64.71333333333332,17.51,18.33,64.16,13.15,18.25,68.60000000000001,19.71,18.91,61.38,Argentina,Jordan
Group J,,28.06.2026,Algeria,Austria,33.85666666666667,24.833333333333332,41.309999999999995,33.09,27.32,39.589999999999996,29.880000000000003,27.229999999999997,42.89,38.6,19.950000000000003,41.449999999999996,Austria,Algeria
Round of 32,73,"Sunday, 28 June 2026",Czechia,Canada,49.85666666666666,24.263333333333332,25.88,53.49,26.3,20.21,48.39,26.33,25.28,47.69,20.16,32.15,Czechia,Canada
Round of 32,74,"Monday, 29 June 2026",Germany,Mexico,54.75,23.72666666666667,21.52333333333333,56.00000000000001,27.88,16.12,53.16,23.52,23.32,55.089999999999996,19.78,25.130000000000003,Germany,Mexico
Round of 32,75,"Monday, 29 June 2026",Netherlands,Brazil,39.22333333333333,21.223333333333333,39.553333333333335,38.019999999999996,21.55,40.43,40.14,23.0,36.86,39.51,19.12,41.370000000000005,Brazil,Netherlands
Round of 32,76,"Monday, 29 June 2026",Morocco,Japan,48.61333333333334,21.55333333333333,29.833333333333332,49.14,22.37,28.49,51.18000000000001,22.86,25.96,45.519999999999996,19.43,35.05,Morocco,Japan
Round of 32,77,"Tuesday, 30 June 2026",France,Australia,59.31999999999999,20.346666666666668,20.333333333333332,60.79,21.709999999999997,17.5,58.15,20.79,21.060000000000002,59.019999999999996,18.54,22.439999999999998,France,Australia
Round of 32,78,"Tuesday, 30 June 2026",Cote Divoire,Senegal,31.459999999999997,22.616666666666664,45.923333333333325,28.49,23.62,47.89,29.2,24.11,46.69,36.69,20.119999999999997,43.19,Senegal,Cote Divoire
Round of 32,79,"Tuesday, 30 June 2026",South Korea,Ecuador,35.31,23.036666666666665,41.653333333333336,34.510000000000005,24.46,41.03,37.56,25.569999999999997,36.870000000000005,33.86,19.08,47.06,Ecuador,South Korea
Round of 32,80,"Wednesday, 1 July 2026",England,DR Congo,58.17666666666667,20.78,21.043333333333333,53.39,23.28,23.330000000000002,61.36000000000001,20.69,17.95,59.78,18.37,21.85,England,DR Congo
Round of 32,81,"Wednesday, 1 July 2026",USA,Sweden,43.343333333333334,24.53333333333333,32.123333333333335,42.94,26.200000000000003,30.86,48.36,26.36,25.28,38.73,21.04,40.23,USA,Sweden
Round of 32,82,"Wednesday, 1 July 2026",Belgium,Norway,42.03666666666667,26.76,31.203333333333333,38.93,31.78,29.29,47.82,27.250000000000004,24.93,39.36,21.25,39.39,Belgium,Norway
