tournament_name,Home_Big_Chances_5,Home_Shots_5,Home_Shots_on_Target_5,Home_touches_in_penalty_area_5,Home_big_chances_last_5,Home_final_third_entries_last_5,Home_touches_in_penalty_area_last_5,Home_wins_last_5,Home_goals_last_5,Home_conceded_last_5,Home_gd_last_5,Away_Big_Chances_5,Away_Shots_5,Away_Shots_on_Target_5,Away_touches_in_penalty_area_5,Away_big_chances_last_5,Away_final_third_entries_last_5,Away_touches_in_penalty_area_last_5,Away_wins_last_5,Away_goals_last_5,Away_conceded_last_5,Away_gd_last_5,Home_elo,Away_elo,ELO_diff
Friendlies & Minor,3.0,13.2,4.8,,3.2624618725314765,150.51658624590712,,1.0,6.0,8.0,-2.0,1.75,9.4,4.0,,1.5555555555555558,66.86419753086422,,3.0,8.0,7.0,1.0,1868.5189451131225,1518.2004811305173,350.3184639826052
Friendlies & Minor,3.3333333333333335,22.0,6.25,24.0,3.2222222222222228,123.8888888888889,24.0,,,,,2.25,12.75,3.0,7.0,0.8455735339284034,145.5709832114739,7.0,2.0,6.0,3.0,3.0,1701.6126871640197,1638.084916164576,63.527770999443646
Qualifiers,,,,,,,,,,,,3.6,10.4,4.4,18.333333333333332,4.536039504611745,189.20211640897497,27.187928669410162,3.0,13.0,3.0,10.0,1500.0,1634.315254406605,-134.31525440660494
Friendlies & Minor,1.2,13.8,2.6,10.0,1.526748971193416,111.6652949245542,10.0,1.0,4.0,7.0,-3.0,1.75,9.6,3.6,,1.0873003776524586,97.50466475716004,,2.0,7.0,11.0,-4.0,1478.0994065851942,1420.5782568655832,57.521149719611
Friendlies & Minor,3.25,16.6,5.6,46.0,4.465082253303336,163.39608306054257,46.0,2.0,8.0,4.0,4.0,0.6666666666666666,6.666666666666667,2.6666666666666665,,0.6666666666666667,80.55555555555557,,,,,,1820.86838202903,1498.8356069824913,322.03277504653875
World Cup,1.5,11.0,2.0,,1.3392781763795674,167.41773969264702,,2.0,6.0,8.0,-2.0,1.5,15.0,3.5,,1.286186048874664,116.76055479347663,,3.0,8.0,4.0,4.0,1537.0109314437411,1420.7241486014605,116.28678284228067
Friendlies & Minor,2.4,12.6,4.8,16.0,2.983417046381355,158.17690671749685,16.0,3.0,9.0,5.0,4.0,4.333333333333333,11.8,5.0,,1.481481481481482,86.55555555555557,,4.0,14.0,7.0,7.0,1576.1171267667635,1535.6110294313507,40.50609733541273
Friendlies & Minor,4.0,15.8,7.2,53.0,5.960759310796287,213.79768319635778,53.0,4.0,16.0,6.0,10.0,3.0,15.2,6.4,17.0,4.239520264505165,175.67912433510975,17.0,5.0,15.0,6.0,9.0,1768.5087906861231,1725.879016173089,42.629774513034135
Friendlies & Minor,3.0,13.6,5.0,44.0,4.174974581687652,200.34439083060477,44.0,2.0,8.0,6.0,2.0,,,,20.0,0.0,24.0,20.0,,,,,1869.693660268127,1539.1334477462487,330.56021252187816
Qualifiers,,,,8.0,1.0,41.0,8.0,,,,,2.0,17.0,6.0,57.0,2.1824417009602195,163.17558299039783,57.0,1.0,7.0,7.0,0.0,1484.8907397320336,1362.4944952748801,122.39624445715344
Qualifiers,4.333333333333333,16.0,6.333333333333333,42.0,1.329218106995885,116.58847736625518,42.0,2.0,7.0,10.0,-3.0,,,,,1.0,68.0,,,,,,1480.9945224472074,1490.8586042746272,-9.864081827419795
Friendlies & Minor,3.4,19.4,5.8,28.0,2.858738787560614,170.51627367854573,28.0,4.0,9.0,3.0,6.0,0.5,8.4,2.6,7.0,0.19753086419753094,79.03703703703704,7.0,0.0,2.0,13.0,-11.0,1555.809376995294,1479.9001590137548,75.90921798153931
Friendlies & Minor,2.8,18.2,6.6,16.0,3.2465267292561815,164.3580350599372,16.0,4.0,16.0,7.0,9.0,2.6,13.4,4.8,,2.721079103795154,131.28395061728398,,1.0,7.0,11.0,-4.0,1565.8834658670883,1565.8080455173385,0.07542034974972012
Friendlies & Minor,4.0,13.2,6.2,40.0,5.856249608419653,129.43481916621096,40.0,3.0,14.0,4.0,10.0,0.75,7.0,3.0,12.0,0.44444444444444453,91.70370370370372,12.0,,,,,1766.1602842061222,1516.1269889422456,250.03329526387665
Qualifiers,4.333333333333333,13.0,5.333333333333333,13.0,3.2962962962962967,126.07407407407409,13.0,,,,,1.0,11.25,2.25,18.5,1.2669128038811601,117.26300045013886,33.753086419753096,1.0,6.0,8.0,-2.0,1672.4702687758174,1473.9369735845976,198.53329519121985
Qualifiers,3.0,15.2,5.8,40.666666666666664,3.1728636427383172,200.48692331292787,36.09876543209878,3.0,11.0,7.0,4.0,2.0,11.0,4.5,20.0,1.0370370370370374,92.92592592592594,20.0,1.0,4.0,8.0,-4.0,1624.6673687732562,1497.8737416919007,126.79362708135545
Qualifiers,4.0,11.8,5.0,26.333333333333332,4.024026336407831,203.13474427264998,57.12528577960678,4.0,14.0,2.0,12.0,,,,,,,,,,,,1640.631083342036,1500.0,140.63108334203594
Friendlies & Minor,2.0,9.8,3.0,,0.8088197937306308,48.69518410008514,,2.0,5.0,9.0,-4.0,1.6666666666666667,10.4,3.6,,0.7248669184349724,65.00310983810671,,1.0,6.0,12.0,-6.0,1483.943880439178,1412.218886162754,71.72499427642401
Friendlies & Minor,1.3333333333333333,7.2,3.0,6.0,0.3536939627372163,75.83476293118821,6.0,2.0,2.0,6.0,-4.0,2.3333333333333335,11.0,4.2,8.0,0.9876543209876548,84.70370370370372,8.0,3.0,10.0,9.0,1.0,1497.698511852736,1526.7716349650136,-29.0731231122777
